UID,buying_price,maintainence_cost,number_of_doors,number_of_seats,luggage_boot_size,safety_rating,popularity
0,3,2,4,2,2,2,1
1,3,2,2,5,2,1,1
2,1,4,2,5,1,3,1
3,4,4,2,2,1,2,1
4,3,3,3,4,3,3,2
5,2,1,2,2,1,1,1
6,1,3,5,2,2,2,1
7,3,1,2,4,3,2,2
8,1,1,3,5,2,1,1
9,2,1,4,2,2,2,1
10,3,1,3,2,1,1,1
11,3,2,3,4,3,2,2
12,4,3,5,4,1,1,1
13,1,2,2,5,2,3,3
14,2,4,2,2,3,1,1
15,4,3,4,2,2,3,1
16,4,1,3,5,3,2,2
17,3,2,3,5,3,2,2
18,3,3,3,2,3,3,1
19,1,3,4,2,2,2,1
20,4,3,4,5,2,2,1
21,4,4,4,2,1,1,1
22,3,1,2,5,1,1,1
23,2,3,5,5,2,1,1
24,4,4,5,4,2,3,1
25,1,4,4,2,3,2,1
26,4,1,5,2,2,1,1
27,3,3,4,5,1,1,1
28,1,3,3,2,3,3,1
29,4,3,5,2,1,3,1
30,4,4,2,5,3,3,1
31,4,1,5,4,1,2,1
32,4,2,3,4,1,2,1
33,1,1,5,4,1,3,3
34,1,1,4,4,2,3,4
35,1,4,5,4,3,1,1
36,4,1,2,5,3,3,2
37,4,3,4,5,2,3,1
38,3,1,2,2,2,1,1
39,4,4,3,4,2,1,1
40,2,2,3,5,3,1,1
41,2,2,4,4,1,3,2
42,2,2,2,5,2,3,2
43,4,4,3,4,3,3,1
44,4,1,2,4,1,3,2
45,4,4,4,4,1,3,1
46,2,2,3,5,1,3,2
47,1,3,2,4,2,3,2
48,3,2,5,5,3,1,1
49,2,3,3,4,2,2,1
50,4,2,2,2,1,3,1
51,4,1,2,2,1,3,1
52,3,3,2,2,1,2,1
53,1,3,3,4,2,3,2
54,4,3,2,5,2,2,1
55,3,2,4,5,2,1,1
56,1,2,5,2,3,3,1
57,1,3,4,5,3,1,1
58,4,2,2,5,3,2,2
59,4,1,4,4,1,1,1
60,2,2,3,5,1,1,1
61,1,1,4,4,2,1,1
62,1,4,3,4,2,3,2
63,2,4,4,4,2,2,2
64,2,1,5,2,3,3,1
65,2,3,5,2,3,1,1
66,1,1,4,2,3,3,1
67,1,3,2,4,3,3,4
68,4,4,3,4,3,1,1
69,4,3,5,5,3,3,1
70,1,3,3,2,1,3,1
71,4,4,5,5,2,2,1
72,4,2,5,4,1,2,1
73,2,3,3,4,1,3,2
74,4,4,4,5,1,1,1
75,3,4,2,2,1,3,1
76,4,1,3,2,3,3,1
77,4,4,2,2,2,1,1
78,1,1,2,2,3,1,1
79,2,1,5,2,1,3,1
80,4,2,4,2,2,3,1
81,4,4,4,4,2,3,1
82,2,4,4,2,3,1,1
83,1,3,4,2,3,1,1
84,4,3,4,4,1,1,1
85,1,2,2,4,2,2,2
86,2,2,5,2,3,2,1
87,2,3,2,2,2,3,1
88,2,2,3,5,2,1,1
89,1,4,4,5,3,1,1
90,1,3,2,2,2,3,1
91,4,3,3,2,1,1,1
92,2,1,4,5,1,1,1
93,1,2,3,5,1,1,1
94,3,4,3,2,2,3,1
95,4,4,4,4,3,2,1
96,2,4,2,4,2,2,1
97,3,3,5,5,1,2,1
98,3,4,4,4,2,3,1
99,1,4,3,5,2,1,1
100,1,4,3,4,1,3,2
101,1,1,4,4,3,2,3
102,2,4,2,4,3,3,2
103,3,3,2,5,2,2,1
104,2,2,4,4,3,1,1
105,3,2,2,4,2,3,2
106,3,3,3,2,1,1,1
107,1,2,5,4,1,3,3
108,3,3,2,4,3,1,1
109,3,2,2,5,1,1,1
110,2,1,5,4,1,3,3
111,3,3,5,5,3,1,1
112,2,2,2,5,2,1,1
113,3,4,4,2,2,2,1
114,4,4,4,5,1,2,1
115,2,3,4,2,1,1,1
116,2,2,4,4,2,1,1
117,2,1,5,5,3,2,3
118,4,1,4,5,2,3,2
119,3,3,4,5,1,2,1
120,3,3,2,4,1,2,1
121,1,3,2,5,2,3,2
122,3,2,3,4,3,1,1
123,2,4,3,4,3,1,1
124,3,4,2,4,1,3,1
125,2,1,5,2,3,1,1
126,4,3,3,2,1,3,1
127,1,1,2,4,2,3,3
128,4,3,5,2,1,2,1
129,2,4,3,4,2,1,1
130,1,4,3,2,3,2,1
131,2,2,5,5,1,1,1
132,3,3,4,4,2,2,2
133,2,2,3,5,3,3,4
134,4,4,5,2,3,1,1
135,4,1,2,5,2,3,2
136,3,2,4,2,3,2,1
137,2,1,2,2,3,3,1
138,3,2,4,2,1,2,1
139,3,4,4,5,3,3,1
140,3,2,5,2,2,1,1
141,2,3,5,2,1,2,1
142,2,2,4,5,3,1,1
143,3,1,3,2,2,2,1
144,2,2,5,2,2,3,1
145,2,3,3,2,3,1,1
146,4,2,2,4,3,1,1
147,2,2,3,2,1,2,1
148,2,4,3,2,1,2,1
149,1,3,4,2,2,1,1
150,4,1,3,4,2,2,1
151,1,2,3,2,3,2,1
152,4,4,3,4,3,2,1
153,3,2,5,5,1,2,1
154,2,2,5,5,1,2,2
155,4,1,2,4,3,2,2
156,1,4,2,4,2,2,1
157,3,2,4,4,2,2,2
158,1,4,5,4,2,1,1
159,2,4,4,4,3,2,2
160,4,1,2,2,2,1,1
161,3,3,5,4,3,1,1
162,1,1,4,2,2,3,1
163,1,1,3,5,2,3,4
164,3,4,3,5,1,2,1
165,2,4,4,2,1,2,1
166,2,1,5,2,2,1,1
167,4,1,2,2,3,1,1
168,1,1,2,2,3,3,1
169,2,2,2,4,2,2,2
170,4,2,5,5,1,3,2
171,3,2,2,5,3,3,2
172,3,4,2,5,2,1,1
173,4,1,2,5,1,3,1
174,3,3,3,2,2,1,1
175,1,4,5,4,1,3,2
176,3,4,4,5,3,2,1
177,4,4,5,4,1,2,1
178,1,2,3,2,2,3,1
179,4,2,3,2,1,2,1
180,3,3,3,4,2,1,1
181,2,3,2,5,3,3,2
182,2,3,5,5,3,2,2
183,1,4,5,5,3,1,1
184,3,4,5,4,2,2,1
185,4,4,4,2,2,1,1
186,3,3,3,5,2,1,1
187,1,1,4,4,1,3,3
188,4,1,3,2,1,2,1
189,4,4,3,4,1,2,1
190,3,4,5,5,1,1,1
191,4,2,2,5,1,3,1
192,2,4,5,5,1,2,1
193,3,2,4,4,3,1,1
194,1,2,2,5,1,3,1
195,3,4,4,5,1,2,1
196,3,2,3,4,1,3,2
197,1,3,3,4,1,1,1
198,3,4,5,5,2,3,1
199,4,4,5,5,3,1,1
200,4,2,4,2,2,1,1
201,1,4,2,2,3,3,1
202,4,1,2,4,2,1,1
203,3,2,5,2,3,3,1
204,3,4,5,5,2,2,1
205,1,4,2,2,2,3,1
206,4,3,2,4,2,1,1
207,3,1,4,4,3,2,2
208,4,1,5,5,2,3,2
209,2,4,3,5,1,1,1
210,3,3,3,2,2,2,1
211,1,4,5,5,3,2,2
212,3,1,5,2,1,2,1
213,3,2,2,2,3,2,1
214,1,1,3,2,3,3,1
215,1,2,2,4,3,3,4
216,1,4,2,4,1,2,1
217,2,3,4,2,2,2,1
218,1,1,5,4,2,2,3
219,3,2,4,2,3,3,1
220,3,4,2,4,1,1,1
221,3,2,4,4,1,2,1
222,2,3,3,4,2,3,2
223,1,3,5,2,2,1,1
224,1,4,4,4,1,3,2
225,4,2,5,4,3,1,1
226,4,1,4,5,1,2,1
